level,word,separable,definition
Level 2,get on,no,"enter a bus, train"
Level 2,get out (of),no,1) exit a car 2) gain from something
Level 2,give back,yes,return something
Level 2,hand in,yes,submit
Level 2,hand out,yes,distribute
Level 2,hold on (to),no,1) grasp 2) endure
Level 2,keep up (with),no,maintain the same speed as another
Level 2,know about,no,"understand, have knowledge of"
Level 2,lay down,yes,set something in a lower place
Level 2,look up,yes,search for
Level 2,look out (for),no,be cautious
Level 2,move out,no,leave one's place of residence
Level 2,pass by,yes,move past without noticing
Level 2,plan on,no,expect
Level 2,point out,yes,"designate, bring to someone's attention"
Level 2,put away,yes,place in the proper location
Level 2,roll up,yes,rotate into a coil
Level 2,run away,no,"escape, depart secretly"
Level 2,sell out,yes,sell entirely
Level 2,set aside,yes,temporarily ignore
Level 2,show off,yes,display to impress others
Level 2,shut down,yes,close completely
Level 2,sign up,no,register
Level 2,speed up,yes,"increase velocity, make faster"
Level 2,stand by,no,wait hopefully
Level 2,start over,yes,begin again
Level 2,take out,yes,1) remove 2) go out with someone
Level 2,take over,yes,assume control
Level 2,talk about,no,discuss a topic
Level 2,talk to,no,speak directly to someone
Level 2,think about,no,consider generally
Level 2,tie up,yes,1) bind with rope 2) take one's time
Level 2,turn down,yes,1) refuse an invitation 2) reduce the volume
Level 2,turn up,no,1) arrive 2) increase the volume
Level 2,warm up,no,get oneself prepared
Level 2,watch out (for),no,beware or avoid
Level 2,wear out,yes,reduce the quality through repeated use
Level 2,end up,no,result in
Level 2,lay off,no,terminate; put someone out of work temporarily
Level 2,put off,yes,postpone or defer
Level 2,let down,yes,disappoint
Level 3,ask out,yes,invite someone for a date
Level 3,blow out,yes,"extinguish, or put out a small flame"
Level 3,break even,no,make enough money to cover expenses or costs
Level 3,bring back,yes,return something to this place
Level 3,call (up)on,no,visit
Level 3,calm down,no,"relax, reduce stress"
Level 3,check out,yes,"observe, see something new"
Level 3,clear out,no,remove people from a room or building
Level 3,close down,yes,discontinue a business
Level 3,come across,no,encounter or meet
Level 3,come over,no,come to where I am
Level 3,cover up,yes,hide something
Level 3,drop off,yes,deposit
Level 3,even out,yes,make equal
Level 3,fall apart,no,lose control or consistency
Level 3,figure out,yes,find a solution
Level 3,fix up,yes,"renovate, or redo to make something better"
Level 3,get along (with),no,have a good relationship
Level 3,get away,no,escape
Level 3,get into,no,take an interest in something
Level 3,give away,yes,donate or contribute without compensation
Level 3,hear about,no,become aware of the news
Level 3,help out,yes,assist
Level 3,hold out,no,1) extend 2) resist
Level 3,keep away (from),no,stay at a distance
Level 3,knock on,no,pound or tap on something
Level 3,let out,yes,"release, set free"
Level 3,listen up,no,play close attention
Level 3,lock up,yes,put in prison
Level 3,look over,yes,"skim, peruse or read generally"
Level 3,look up to,no,respect or admire someone
Level 3,make out,no,"1) discern, understand or see 2) kiss heavily"
Level 3,mix up,yes,1) stir or combine 2) confuse
Level 3,pass out,no,1) distribute 2) faint
Level 3,pile up,yes,"make a heap, stack or collection"
Level 3,plan ahead,no,organize actions for the future
Level 3,put back,yes,return something to the proper place
Level 3,quiet down,no,reduce the noise
Level 3,roll over,yes,1) turn over 2) integrate into a new system
Level 3,run over,yes,drive over something with a vehicle
Level 3,see off,yes,accompany someone to a departure point
Level 3,settle down,no,1) calm oneself 2) move into place permanently
Level 3,shut up,no,"be quiet, stop talking (very informal)"
Level 3,sign in,no,register for an event
Level 3,sit up,no,have good posture when sitting
Level 3,split up,no,separate from one's partner or group
Level 3,stay up,no,don_t sleep at the regular hour
Level 3,step on,no,"squash, press, or crush with a foot"
Level 3,straighten out,yes,solve a problem
Level 3,talk with,no,discuss an issue with someone
Level 3,tear down,yes,"destroy, raze"
Level 3,tell on,no,"tattle, give information about someone to an authority"
Level 3,think up,yes,originate an idea
Level 3,turn away,yes,reject; ignore without consideration
Level 3,turn in,no,1) retire to bed 2) submit
Level 3,use up,yes,exhaust the supply
Level 3,wind down,no,come to an end
Level 3,wind up,yes,turn a mecanism to get it started
Level 3,write up,yes,compose an article
Level 3,drop out of,no,quit participating
