level,subset,question,correct,wrong1,wrong2,wrong3,wrong4,,,,,,,
Level 5,A,Which word is most different from the others in meaning? ,stingy,filthy,dirty,grimy,unclean,,,,,,,
Level 5,A,Which word is most different from the others in meaning? ,warranty,clue,hint,implication,suggestion,,,,,,,
Level 5,A,Which word is most different from the others in meaning? ,demolish,reduce,diminish,decrease,abate,,,,,,,
Level 5,A,Which word is most different from the others in meaning? ,advocated,learned,erudite,educated,knowledgeable,,,,,,,
Level 5,A,Which word is most different from the others in meaning? ,determined,despondent,forlorn,depressed,miserable,,,,,,,
Level 5,A,Which word is most different from the others in meaning? ,commission,permission,consent,approval,clearance,,,,,,,
Level 5,A,Which word is most different from the others in meaning? ,pledge,prize,award,trophy,medal,,,,,,,
Level 5,A,Which word is most different from the others in meaning? ,suppose,offer,propose,proffer,tender,,,,,,,
Level 5,A,Which word is most different from the others in meaning? ,eradicate,clarify,illustrate,elucidate,explain,,,,,,,
Level 5,A,Which word is most different from the others in meaning? ,severe,expert,authority,specialist,guru,,,,,,,
Level 5,A,Which word is most different from the others in meaning? ,humble,strict,stern,austere,stringent,,,,,,,
Level 5,A,Which word is most different from the others in meaning? ,stow,stop,halt,pause,stall,,,,,,,
Level 5,A,Which word is most different from the others in meaning? ,hasten,harm,injure,wound,hurt,,,,,,,
Level 5,A,Which word is most different from the others in meaning? ,solace,danger,peril,jeopardy,threat,,,,,,,
Level 5,A,Which word is most different from the others in meaning? ,slob,mob,crowd,throng,flock,,,,,,,
Level 5,A,Which word is most different from the others in meaning? ,devout,withdraw,extract,dislodge,remove,,,,,,,
Level 5,A,Which word is most different from the others in meaning? ,absorb,lift,elevate,raise,hoist,,,,,,,
Level 5,A,Which word is most different from the others in meaning? ,cherish,tune,anthem,hymn,song,,,,,,,
Level 5,A,Which word is most different from the others in meaning? ,flog,compel,coerce,force,bully,,,,,,,
